SKU,Product_type,Customer_Market,Stock levels,Stock_In_Transit,Net_Demand,Allocated_Units,Allocation_Fill_Rate,Priority,Coverage_Gap,Market_Priority
SKU44,cosmetics,ANZ,13,183.8,1112.7749999999999,879,79.0,CRITICAL,-18.57562568008705,1
SKU14,skincare,ANZ,54,93.66666666666667,1074.6833333333332,930,86.5,CRITICAL,-26.11743772241993,1
SKU40,skincare,ANZ,90,248.8,1060.7,918,86.5,CRITICAL,-17.106109324758844,1
SKU83,haircare,ANZ,65,176.8,951.6000000000001,951,99.9,CRITICAL,-21.058823529411764,1
SKU21,cosmetics,ANZ,69,120.20000000000002,937.675,740,78.9,CRITICAL,-21.555740432612314,1
SKU10,skincare,ANZ,51,66.4,853.7000000000002,739,86.6,HIGH,-11.463855421686747,1
SKU72,cosmetics,ANZ,57,143.4,839.2500000000001,663,79.0,CRITICAL,-25.422594142259413,1
SKU66,skincare,ANZ,13,187.73333333333332,696.8666666666664,603,86.5,CRITICAL,-16.446022727272727,1
SKU77,haircare,ANZ,96,47.86666666666667,610.0333333333334,610,100.0,CRITICAL,-19.977715877437326,1
SKU32,skincare,ANZ,89,104.13333333333334,568.3416666666666,492,86.6,HIGH,-9.581306017925737,1
SKU79,haircare,ANZ,31,6.6,333.65,333,99.8,CRITICAL,-20.303030303030305,1
SKU26,haircare,ANZ,59,47.06666666666667,317.53333333333336,317,99.8,HIGH,-10.98583569405099,1
SKU57,haircare,ANZ,5,7.566666666666666,293.8833333333333,293,99.7,CRITICAL,-17.33920704845815,1
SKU90,skincare,ANZ,66,74.66666666666666,291.33333333333337,252,86.5,HIGH,-11.8125,1
SKU42,skincare,ANZ,22,20.666666666666668,271.2083333333333,235,86.6,CRITICAL,-22.741935483870968,1
SKU37,skincare,ANZ,25,288.90000000000003,263.90000000000003,228,86.4,HIGH,-7.221183800623053,1
SKU99,haircare,ANZ,55,125.39999999999999,195.8,195,99.6,HIGH,-5.368421052631579,1
SKU5,haircare,ANZ,90,14.700000000000001,192.97500000000002,192,99.5,HIGH,-8.632653061224492,1
SKU31,skincare,ANZ,6,22.4,185.79999999999998,161,86.7,CRITICAL,-15.928571428571429,1
SKU64,skincare,ANZ,73,26.8,171.55,148,86.3,HIGH,-10.656716417910449,1
SKU15,skincare,ANZ,9,109.43333333333334,162.96666666666664,141,86.5,HIGH,-7.424307036247335,1
SKU61,haircare,ANZ,32,27.3,142.525,142,99.6,HIGH,-14.794871794871794,1
SKU56,skincare,ANZ,25,15.5,119.92499999999998,104,86.7,HIGH,-14.935483870967742,1
SKU58,skincare,ANZ,10,209.06666666666666,116.93333333333334,101,86.4,MEDIUM,-4.665178571428571,1
SKU19,skincare,ANZ,48,18.7,87.57499999999997,76,86.8,MEDIUM,-3.2994652406417115,1
SKU49,cosmetics,ANZ,97,19.799999999999997,61.39999999999999,48,78.2,MEDIUM,5.3939393939393945,1
SKU68,haircare,ANZ,0,43.46666666666667,54.33333333333334,54,99.4,HIGH,-8.0,1
SKU6,skincare,ANZ,11,17.333333333333332,44.79166666666667,39,87.1,HIGH,-9.923076923076923,1
